Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,Duration_Days,Acquisition_Cost_Clean,Year,Month,Month_Name,Day,Day_of_Week,Quarter,CTR,Estimated_Conversions,Cost_Per_Click,Cost_Per_Conversion
65641,Alpha Innovations,Search,Women 25-34,15 days,Website,0.09,"$18,624.00",8.0,Miami,German,135,8364,9,Foodies,2021-11-02,15,18624.0,2021,11,November,2,Tuesday,4,1.6140602582496413,12.15,137.95555555555555,1532.8395061728395
143791,Alpha Innovations,Influencer,Men 18-24,60 days,Website,0.06,"$17,371.00",8.0,Los Angeles,English,290,3637,3,Foodies,2021-12-12,60,17371.0,2021,12,December,12,Sunday,4,7.973604619191642,17.4,59.9,998.3333333333334
143504,Innovate Industries,Influencer,Women 35-44,30 days,YouTube,0.04,"$5,889.00",8.0,New York,French,660,4459,5,Fashionistas,2021-02-28,30,5889.0,2021,2,February,28,Sunday,1,14.801525005606639,26.400000000000002,8.922727272727272,223.0681818181818
121640,TechCorp,Influencer,Men 18-24,15 days,Google Ads,0.14,"$7,081.00",8.0,Chicago,French,350,1682,7,Fashionistas,2021-04-05,15,7081.0,2021,4,April,5,Monday,2,20.80856123662307,49.00000000000001,20.231428571428573,144.51020408163262
120918,TechCorp,Social Media,Men 18-24,45 days,Website,0.11,"$6,677.00",8.0,Miami,German,465,2766,9,Foodies,2021-04-13,45,6677.0,2021,4,April,13,Tuesday,2,16.811279826464208,51.15,14.359139784946237,130.53763440860214
73365,Innovate Industries,Display,Men 25-34,15 days,Website,0.15,"$5,277.00",8.0,New York,Spanish,511,6270,5,Foodies,2021-12-31,15,5277.0,2021,12,December,31,Friday,4,8.149920255183412,76.64999999999999,10.326810176125244,68.8454011741683
48871,TechCorp,Display,Men 25-34,15 days,Website,0.12,"$6,670.00",8.0,Miami,English,754,9802,10,Foodies,2021-11-22,15,6670.0,2021,11,November,22,Monday,4,7.6923076923076925,90.47999999999999,8.846153846153847,73.71794871794873
42869,DataTech Solutions,Display,Women 35-44,60 days,Website,0.01,"$5,659.00",8.0,Chicago,Spanish,724,3588,8,Tech Enthusiasts,2021-06-13,60,5659.0,2021,6,June,13,Sunday,2,20.178372352285397,7.24,7.816298342541437,781.6298342541436
43000,NexGen Systems,Email,All Ages,45 days,Google Ads,0.09,"$12,833.00",8.0,Chicago,Mandarin,870,7386,4,Outdoor Adventurers,2021-10-22,45,12833.0,2021,10,October,22,Friday,4,11.779041429731924,78.3,14.750574712643678,163.89527458492975
83446,Alpha Innovations,Search,Women 35-44,15 days,Email,0.04,"$18,956.00",8.0,Houston,English,743,8741,2,Foodies,2021-08-14,15,18956.0,2021,8,August,14,Saturday,3,8.500171605079512,29.72,25.51278600269179,637.8196500672948
9891,Alpha Innovations,Display,All Ages,60 days,Email,0.09,"$11,509.00",8.0,Houston,Spanish,653,5579,3,Foodies,2021-02-05,60,11509.0,2021,2,February,5,Friday,1,11.704606560315469,58.769999999999996,17.624808575803982,195.83120639782203
142905,NexGen Systems,Search,All Ages,60 days,Google Ads,0.14,"$17,399.00",8.0,New York,French,331,6917,2,Outdoor Adventurers,2021-07-09,60,17399.0,2021,7,July,9,Friday,3,4.785311551250542,46.34,52.56495468277946,375.4639620198532
51722,Innovate Industries,Email,Women 35-44,60 days,Website,0.07,"$13,741.00",8.0,Chicago,German,897,6368,2,Foodies,2021-09-14,60,13741.0,2021,9,September,14,Tuesday,3,14.08605527638191,62.790000000000006,15.318840579710145,218.8405797101449
120275,DataTech Solutions,Influencer,Men 18-24,30 days,Website,0.04,"$12,201.00",8.0,Los Angeles,English,280,8281,3,Health & Wellness,2021-07-09,30,12201.0,2021,7,July,9,Friday,3,3.38123415046492,11.200000000000001,43.575,1089.375
53539,DataTech Solutions,Search,Men 18-24,15 days,Email,0.03,"$13,683.00",8.0,Houston,Spanish,284,9254,3,Fashionistas,2021-09-06,15,13683.0,2021,9,September,6,Monday,3,3.068943159714718,8.52,48.179577464788736,1605.985915492958
122086,TechCorp,Social Media,Women 25-34,15 days,Instagram,0.07,"$15,147.00",8.0,Houston,English,251,7177,5,Health & Wellness,2021-06-25,15,15147.0,2021,6,June,25,Friday,2,3.4972829873206073,17.57,60.34661354581673,862.0944792259534
121891,TechCorp,Display,Men 18-24,60 days,Google Ads,0.1,"$7,736.00",8.0,Chicago,English,637,9184,10,Outdoor Adventurers,2021-12-12,60,7736.0,2021,12,December,12,Sunday,4,6.935975609756098,63.7,12.14442700156986,121.44427001569858
73037,NexGen Systems,Email,Men 18-24,45 days,YouTube,0.03,"$15,354.00",8.0,Houston,English,309,1927,9,Health & Wellness,2021-02-06,45,15354.0,2021,2,February,6,Saturday,1,16.035288012454593,9.27,49.689320388349515,1656.3106796116506
185421,TechCorp,Display,Men 18-24,30 days,Email,0.07,"$13,932.00",8.0,Houston,German,258,5351,4,Outdoor Adventurers,2021-01-01,30,13932.0,2021,1,January,1,Friday,1,4.821528686226873,18.060000000000002,54.0,771.4285714285713
177184,NexGen Systems,Influencer,Men 25-34,45 days,YouTube,0.11,"$5,115.00",8.0,Miami,Mandarin,972,3244,8,Health & Wellness,2021-06-08,45,5115.0,2021,6,June,8,Tuesday,2,29.96300863131936,106.92,5.262345679012346,47.839506172839506
